BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460366.701740,1.00310,0.00152,1.4049,0.88,-0.05,12.39,122008
2460366.702041,1.00083,0.00149,1.4045,0.85,-0.26,12.13,156031
2460366.702331,0.99963,0.00147,1.4041,0.85,-0.04,12.25,173736
2460366.702632,1.00140,0.00147,1.4037,0.53,-0.04,12.73,165192
2460366.702922,1.00003,0.00147,1.4033,0.64,0.09,12.17,172030
2460366.703224,1.00137,0.00147,1.4029,0.69,-0.13,12.38,167780
2460366.703525,1.00200,0.00147,1.4025,0.72,-0.02,12.42,163468
2460366.703815,0.99981,0.00147,1.4021,0.44,-0.14,12.24,167255
2460366.704116,1.00008,0.00147,1.4017,0.59,-0.12,12.57,167539
2460366.704406,0.99891,0.00147,1.4014,0.58,-0.07,12.45,159847
2460366.704707,0.99978,0.00147,1.4010,0.83,-0.05,12.28,163597
2460366.704997,0.99902,0.00147,1.4006,0.46,0.02,12.60,164475
2460366.705298,0.99842,0.00147,1.4003,0.29,0.13,12.29,163060
2460366.705588,0.99857,0.00147,1.4000,0.59,-0.09,12.56,159576
2460366.705890,0.99835,0.00146,1.3996,0.42,-0.02,12.25,171703
2460366.706179,0.99970,0.00147,1.3993,0.42,-0.05,12.14,171246
2460366.706481,0.99798,0.00147,1.3989,0.79,-0.14,12.40,158124
2460366.706770,0.99394,0.00155,1.3986,-0.19,-0.41,12.65,95616
2460366.707072,1.00001,0.00156,1.3983,0.64,0.09,12.07,102263
2460366.707362,1.00365,0.00159,1.3980,-0.08,-0.11,12.32,91874
2460366.707651,0.99829,0.00162,1.3977,0.49,-0.14,12.30,92810
2460366.707953,0.98976,0.00160,1.3974,0.23,-0.56,12.62,88121
2460366.708243,1.00564,0.00151,1.3971,-0.20,0.75,12.61,131399
2460366.708544,0.99718,0.00148,1.3968,0.48,-0.12,12.60,134203
2460366.708834,0.99906,0.00147,1.3966,0.41,-0.02,12.44,144217
2460366.709135,1.00012,0.00147,1.3963,0.47,-0.00,12.66,156209
2460366.709425,0.99856,0.00147,1.3960,0.42,0.00,12.45,151606
2460366.709726,0.99942,0.00147,1.3958,0.27,-0.06,12.37,148579
2460366.710016,0.99795,0.00147,1.3955,0.19,0.10,12.76,140171
2460366.710317,0.99617,0.00147,1.3953,0.06,-0.09,12.76,137712
2460366.710619,1.00017,0.00147,1.3950,0.34,-0.07,12.36,146441
2460366.710920,1.00208,0.00147,1.3947,0.31,-0.10,12.77,145793
2460366.711210,0.99857,0.00147,1.3945,0.76,0.02,12.57,142790
2460366.711511,0.99602,0.00148,1.3943,0.23,-0.18,12.79,126610
2460366.711813,0.99330,0.00150,1.3941,0.15,-0.47,12.79,115280
2460366.712102,0.99931,0.00154,1.3939,0.53,-0.08,12.61,102243
2460366.712404,1.00256,0.00156,1.3936,1.00,-0.32,12.73,103202
2460366.712694,0.99634,0.00150,1.3934,0.22,-0.76,12.79,124207
2460366.712983,1.00197,0.00147,1.3932,0.36,-0.62,12.66,146769
2460366.713285,0.99982,0.00146,1.3930,0.43,-0.15,12.47,165172
2460366.713575,0.99454,0.00145,1.3928,0.36,-0.32,12.75,157808
2460366.713876,1.00252,0.00146,1.3927,0.18,0.17,12.82,147504
2460366.714166,1.00164,0.00146,1.3925,0.43,-0.11,12.77,160465
2460366.714467,0.99860,0.00145,1.3923,0.36,-0.07,12.62,161824
2460366.714768,1.00061,0.00146,1.3921,0.26,-0.11,12.83,155486
2460366.715058,1.00001,0.00146,1.3920,0.58,-0.06,12.88,145558
2460366.715348,1.00123,0.00146,1.3918,0.42,-0.11,12.68,147844
2460366.715649,1.00087,0.00145,1.3917,0.40,0.01,12.91,152249
2460366.715939,1.00104,0.00146,1.3916,0.37,-0.23,12.71,146676
2460366.716241,0.99578,0.00145,1.3914,0.26,0.04,12.75,148350
2460366.716542,0.99943,0.00145,1.3913,0.23,-0.10,12.82,150161
2460366.716843,0.99889,0.00145,1.3912,0.30,-0.19,12.73,154782
2460366.717133,0.99875,0.00145,1.3910,0.33,-0.07,12.99,146244
2460366.717435,0.99983,0.00145,1.3909,0.48,-0.25,13.15,138720
2460366.717724,0.99829,0.00146,1.3908,0.32,-0.27,12.91,135785
2460366.718026,0.99873,0.00148,1.3907,0.26,-0.00,12.98,133060
2460366.718327,0.99819,0.00149,1.3906,-0.10,0.21,13.08,110097
2460366.718617,0.99862,0.00150,1.3905,0.03,-0.03,12.95,111766
2460366.718918,1.00161,0.00150,1.3904,0.15,0.16,12.94,118629
2460366.719220,1.00198,0.00150,1.3903,0.48,0.62,12.88,113939
2460366.719509,0.99911,0.00146,1.3903,0.58,-0.16,12.87,141950
2460366.719811,0.99643,0.00146,1.3902,0.47,-0.13,12.85,144434
2460366.720101,0.99942,0.00146,1.3901,0.04,-0.25,12.78,130614
2460366.720390,0.99854,0.00146,1.3901,0.21,-0.28,12.80,147368
2460366.720692,0.99868,0.00146,1.3900,0.50,0.17,13.02,131275
2460366.720982,1.00087,0.00147,1.3900,0.23,-0.03,12.80,128785
2460366.721283,1.00464,0.00152,1.3899,0.56,-0.35,12.93,105383
2460366.721573,1.00234,0.00150,1.3899,1.16,-0.17,13.19,113601
2460366.721874,1.00117,0.00148,1.3899,0.63,0.10,13.13,126123
2460366.722164,0.99851,0.00149,1.3898,-0.10,-0.17,12.70,115423
2460366.722465,1.00228,0.00155,1.3898,0.12,-0.12,13.02,91594
2460366.722755,1.00677,0.00158,1.3898,0.65,-0.31,12.82,91971
2460366.723357,0.99567,0.00158,1.3898,0.37,-0.47,12.73,86516
2460366.723647,0.99892,0.00152,1.3898,0.14,-0.02,12.99,108676
2460366.723948,0.99831,0.00150,1.3898,0.14,-0.05,12.94,115478
2460366.724249,1.00307,0.00153,1.3898,0.39,-0.30,12.88,100179
2460366.724539,1.00227,0.00151,1.3898,0.34,-0.70,12.67,118505
2460366.724840,0.99953,0.00151,1.3899,0.04,0.07,12.76,111407
2460366.725142,1.00072,0.00154,1.3899,0.03,-0.34,12.86,104728
2460366.725432,1.00140,0.00151,1.3899,0.04,-0.00,12.90,109634
2460366.725722,0.99843,0.00149,1.3900,0.20,0.02,12.61,115348
2460366.726023,0.99814,0.00148,1.3900,0.18,0.09,12.98,120174
2460366.726313,0.99995,0.00149,1.3901,0.23,-0.09,13.13,115077
2460366.726614,0.99693,0.00149,1.3901,0.33,-0.20,12.81,115381
2460366.726904,1.00000,0.00148,1.3902,0.14,-0.20,12.57,127371
2460366.727205,0.99672,0.00147,1.3903,0.21,0.32,12.92,128674
2460366.727495,0.99898,0.00147,1.3903,-0.03,-0.02,12.93,122181
2460366.727796,0.99606,0.00146,1.3904,0.26,-0.15,12.74,136100
2460366.728086,1.00264,0.00146,1.3905,0.20,0.04,12.90,135884
2460366.728388,1.00081,0.00146,1.3906,0.17,-0.16,12.94,140437
2460366.728677,1.00011,0.00146,1.3907,0.35,-0.22,12.85,135655
2460366.728967,1.00032,0.00146,1.3908,0.24,-0.11,12.89,139269
2460366.729269,0.99831,0.00146,1.3909,0.07,-0.10,12.89,135253
2460366.729558,1.00070,0.00146,1.3910,-0.12,-0.28,12.87,146285
2460366.729860,0.99881,0.00146,1.3911,0.25,-0.12,12.79,143816
2460366.730149,0.99879,0.00146,1.3913,0.02,-0.06,12.77,140326
2460366.730451,0.99802,0.00146,1.3914,0.21,0.01,12.62,148011
2460366.730741,1.00229,0.00147,1.3915,0.41,0.15,12.80,139757
2460366.731030,0.99889,0.00147,1.3917,0.04,-0.06,12.69,141178
2460366.731332,1.00070,0.00147,1.3918,0.15,0.10,12.85,136192
2460366.731622,0.99816,0.00158,1.3920,0.02,-0.51,12.84,89724
2460366.732514,1.00194,0.00164,1.3925,0.29,-0.00,12.46,81418
2460366.732804,1.00526,0.00162,1.3926,0.06,-0.45,12.46,88844
2460366.733094,0.99915,0.00165,1.3928,0.49,0.06,12.57,80288
2460366.734276,0.99572,0.00158,1.3936,-0.18,-0.84,12.32,87676
2460366.734577,1.00072,0.00149,1.3938,0.33,0.03,12.72,127086
2460366.734867,0.99968,0.00147,1.3940,0.45,0.20,11.90,142439
2460366.735157,0.99953,0.00148,1.3943,0.15,-0.22,12.67,142870
2460366.735458,0.99800,0.00147,1.3945,-0.06,-0.02,12.61,148379
2460366.735748,0.99646,0.00148,1.3947,0.30,-0.07,12.60,140387
2460366.736049,0.99978,0.00150,1.3949,-0.06,0.15,12.71,120368
2460366.736339,0.99723,0.00148,1.3952,0.18,0.12,12.48,145943
2460366.736641,0.99791,0.00147,1.3955,-0.04,0.11,12.38,152084
2460366.736930,0.99759,0.00147,1.3957,0.05,-0.15,12.31,156162
2460366.737232,1.00012,0.00147,1.3960,-0.05,-0.08,12.61,157910
2460366.737521,0.99760,0.00146,1.3962,-0.03,0.01,12.52,161144
2460366.737823,1.00045,0.00147,1.3965,-0.04,-0.09,12.41,162997
2460366.738113,1.00085,0.00150,1.3968,0.05,0.22,12.47,136945
2460366.738414,0.99759,0.00147,1.3971,0.04,-0.32,12.55,142411
2460366.738704,0.99884,0.00147,1.3974,0.16,-0.12,12.53,153906
2460366.739005,0.99836,0.00146,1.3977,0.24,-0.05,12.49,169009
2460366.739295,0.99980,0.00147,1.3980,-0.07,-0.09,12.33,167459
2460366.739596,0.99921,0.00147,1.3983,0.15,-0.25,12.18,160177
2460366.739886,0.99982,0.00148,1.3986,0.04,0.21,11.75,152010
2460366.740176,0.99897,0.00149,1.3989,-0.05,-0.04,12.41,152809
2460366.740477,1.00157,0.00150,1.3992,-0.25,-0.07,12.30,132650
2460366.740779,0.99824,0.00153,1.3996,0.00,-0.23,12.44,116477
2460366.741068,0.99951,0.00160,1.3999,-0.36,0.05,12.32,94880
2460366.741370,0.99897,0.00165,1.4002,-0.40,-0.35,12.41,90047
2460366.744036,1.00041,0.00158,1.4036,-0.49,-0.04,12.17,109642
2460366.744325,1.00010,0.00157,1.4040,-0.15,0.13,12.48,102918
2460366.744615,0.99993,0.00154,1.4044,0.06,-0.26,12.23,125115
